magasság;súly;cipõméret;nem;tanulási idõ;utazási idó;valszám jegy
180;65;41;f;5;40;5
180;95;44;f;4;30;4
185;75;43;f;4;60;4
192;89;45;f;7;90;4
180;74;42;f;8;90;4
185;85;45;f;28;45;3
180;85;48;f;10;50;2
179;70;41;f;3,5;50;4
182;78;43;f;3;120;5
183;66;42;f;4;90;3
193;93;47;f;4;40;4
185;80;43;f;6;40;5
178;66;41;f;4;20;2
165;55;41;f;1;140;4
179;60;41;f;2;85;5
190;70;43;f;3;80;3
167;53;37;n;3;60;2
167;63;37;n;4;210;3
154;93;45;n;1;25;5
181;60;41;f;2;90;3
194;70;47;f;0,5;50;2
180;72;41;f;1;30;2
195;92;42;f;3;30;3
198;82;45;f;4;30;3
172;60;42;f;5;50;3
