Matek	Jog	Sör	Lakhely	Testmagasság	Cipõméret	Kor	Nem
1	3	0	Kismaros	175	36	19	F
2	5	0	Kecskemét	164	38	20	F
2	3	0	Budapest	166	39	19	F
1	3	0	Budapest	168	40	19	F
1	2	0	Budapest	186	43	20	M
3	4	0	Vértesszolos	188	43	20	M
1	4	0	Újhartyán	167	37	19	F
4	3	0	Budapest	161	37	18	F
2	4	0	Szombathely	173	40	20	F
1	2	0	Szada	168	39	18	F
2	3	0	Budapest	162	37	20	F
2	4	0	Budapest	152	36	20	F
2	3	0	Csobánka	162	37	20	F
2	4	0	Budapest	165	40	19	F
5	5	0	Kecel	165	40	19	F
2	4	0	Bonn	165	39	22	F
2	2	0	Budapest	182	42	19	F
1	3	0	Pilisvörösvár	165	37	18	F
1	3	0	Budapest	182	42	22	M
2	5	0	Veroce	175	39	21	F
2	3	0	Császár	166	37	19	F
4	4	0	Baja	172	38	19	F
1	3	0	Érd	162	38	19	F
3	3	0	Budapest	170	40	20	F
2	5	0	Kelebia	163	38	20	F
2	5	0	Edelény	178	39	19	F
2	4	0	Miskolc	170	38	20	F
2	4	0	Budapest	175	41	19	F
1	4	0	Bajót	171	40	20	F
4	5	0	Tatabánya	169	38	21	F
3	4	0	Békés	170	38	19	F
2	2	1	Budakeszi	187	46	19	M
1	3	1	Budapest	177	40	20	F
1	2	1	Pilisvörösvár	175	44	18	M
1	2	1	Pilisvörösvár	175	43	18	M
1	3	2	Gödöllo	175	38	19	F
3	4	2	Pilisvörösvár	182	41	19	M
3	4	2	Pilisvörösvár	182	41	19	M
1	2	3	Miskolc	161	36	22	F
1	3	4	Gyöngyössolymos	162	38	20	F
5	4	4	Sopron	174	37	20	F
1	3	5	Eger	163	39	20	F
1	2	6	Miskolc	182	44	18	M
3	4	15	Budapest	164	39	19	F
1	4	18	Budapest	187	43	18	M
1	3	18	Budapest	187	43	18	M
1	2	115	Budapest	185	45	20	M
